scenario,model,rmse_x1,rmse_x2,r2_x1,r2_x2,mae_x1,mae_x2
test-2,physics,0.09676362127338711,0.03539393728848226,0.9965831015937375,0.9235893092736027,0.07744917944450834,0.024645141558570605
test-2,ude,0.09681162748485836,0.07878882416446097,0.9965797103804894,0.6213607686947026,0.0774541321677849,0.06179980160265149
test-6,physics,0.1113811985956554,0.3722415877665103,0.9915713116384678,0.87364485371696,0.08511046741094053,0.32702522981438037
test-6,ude,0.11139788588072545,0.3595505912673337,0.991568785853801,0.8821137465823888,0.0853317649215012,0.3251477125886639
test-1,physics,0.16445597676255766,0.5374825442024809,0.9832689662453415,0.6073514356761651,0.1300007892847078,0.4711643076036933
test-1,ude,0.16417394732931723,0.57889740443526,0.9833263019287657,0.5445103741160033,0.12982365844469806,0.5143585025471251
test-3,physics,0.10285934314726088,0.1814268529910598,0.9961626161190491,0.8704339824434149,0.07665816077580725,0.16149002675585553
test-3,ude,0.10396886287087638,0.1107815844319221,0.996079383694515,0.9516915481425348,0.0775126876553733,0.08686835633727903
test-4,physics,0.13526727668907,0.034108424607991676,0.9431236678070479,0.9838580457661766,0.09055329864260171,0.025335162797735154
test-4,ude,0.13623321193046165,0.11016944027742749,0.9423084667844391,0.8315949634147813,0.0909850638770429,0.10301362649178067
test-8,physics,0.08080320781073629,0.1848196145132944,0.9918309214039834,0.8869144604601167,0.06257548318819929,0.168941312392024
test-8,ude,0.08125540077788933,0.13389810841318836,0.9917392335559962,0.9406446544369602,0.06277670921340177,0.11589554879871247
test-10,physics,0.11267581613401022,0.6132673587395917,0.9971442366267073,0.633775115092903,0.08051836973517279,0.45454892126368857
test-10,ude,0.11221372896607539,0.5306638826885455,0.9971676117531485,0.7257875229221712,0.08030480662677347,0.37911056523870224
test-7,physics,0.0491782927505558,0.17665167198044318,0.9992743402270716,0.7050888100263533,0.03668369012242104,0.15445617962848238
test-7,ude,0.04892401643667019,0.2564534541493092,0.9992818248735119,0.37845460558660504,0.03674890693295199,0.2200322948110853
test-5,physics,0.06302932088052957,0.08685613885085333,0.9937962048186112,0.5850735229172197,0.05732447532591029,0.0680450500946933
test-5,ude,0.06290188537365934,0.052418877789450785,0.9938212656808753,0.8488717864388806,0.05734712679823814,0.044231249680586573
test-9,physics,0.1378946664304269,0.29762075260706344,0.9918474867320632,0.8951216990644492,0.10822597162338735,0.25569026174395315
test-9,ude,0.13905332684880733,0.2633658473957784,0.9917099081051285,0.9178744796932248,0.10929699340537036,0.22521416191956287
